date;AdrActCnt;BlkCnt;BlkSizeByte;BlkSizeMeanByte;CapMrktCurUSD;DiffMean;FeeMeanNtv;FeeMeanUSD;FeeMedNtv;FeeMedUSD;FeeTotNtv;FeeTotUSD;HashRate;IssContNtv;IssContPctAnn;IssContUSD;IssTotNtv;IssTotUSD;NVTAdj;NVTAdj90;PriceBTC;PriceUSD;ROI1yr;ROI30d;SplyCur;SplyExpFut10yrCMBI;SplyFF;TxCnt;TxTfrCnt;TxTfrValAdjNtv;TxTfrValAdjUSD;TxTfrValMeanNtv;TxTfrValMeanUSD;TxTfrValMedNtv;TxTfrValMedUSD;TxTfrValNtv;TxTfrValUSD;VtyDayRet180d;VtyDayRet30d;VtyDayRet60d
2016-09-27;17521;6053;10053009;1660.83082768875;1105549104.9680922;71521862268249.1;0.00210480705934898;0.027568954655438897;0.0008739;0.011446421830626082;98.54075209750991;1290.695750103273;5.01187182825732;35287.5;15.2596202420535;462198.8904316488;35287.5;462198.8904316488;73.71021118;33.05589039600974;0.02164431329885711;13.0980911209819;2067.8113666086315;18.996595752432167;84405360.65573;209354907.911312;81973901.73836929;46817;46049;1145097.25727656;14998588.218194837;39.3466993949434;515.3666539848521;1.01530476;13.29855426204666;1811876.1604377478;23732119.04934844;0.06784319115618373;0.03550358380495986;0.05782890796354063
2016-11-28;4295076;6042;10458762;1731.00993048659;750245185.0912058;67649540618316.9;0.0025258178799124;0.02192837906834384;0.000573827943885;0.004981798875362709;122.21927557318966;1061.0704063589214;4.73086306347532;33939.84375;14.3352074786332;294655.3530993978;33939.84375;294655.3530993978;120.37052314;44.400260457386814;0.011891388497401002;8.68169444944477;897.8959137292838;-16.629105060804296;86416907.37448;209074556.552354;83985446.87234153;48388;40926;717924.165458172;6232798.24238048;22.4535933750341;194.9352369741234;1.00879976164978;8.758091291316102;918935.7624666456;7977919.508402974;0.059864964210474284;0.02684469699802211;0.024520026089807512
2016-12-21;16045;6070;10739911;1769.34283360791;687586541.9957945;90111207881563.4;0.00107785256635089;0.008504176633384044;0.000525;0.004142210977556983;54.74736540267383;431.9526437395789;6.33071239128109;31592.96875;13.2321021986364;249266.17518069467;31592.96875;249266.17518069467;57.57111472;43.83900829194204;0.009523332648702887;7.88992567153711;796.5824626746717;-17.27524604513413;87147404.24948;204120088.79299;84715944.75786653;50793;43883;1513734.87694958;11943255.66554556;57.2070975590356;451.3597476251629;1.00818985;7.954542979298148;2510419.062183158;19807019.805035017;0.05014341662901072;0.0505466484155435;0.040078453644242285
2017-02-06;16440;6050;9715929;1605.93867768595;1004766785.3162667;119233553917492.0;0.000758162043381823;0.008595025398904;0.0004589;0.005202393327372961;35.86561362423705;406.59627152074006;8.34985491267349;31626.71875;13.024673854711;358541.3610627616;31626.71875;358541.3610627616;76.19744715;77.61092465268239;0.011078341106053628;11.3366601163063;291.1795026094652;14.226215185253766;88629876.43698;204853281.951644;86278416.94536653;47306;45039;1163160.70623406;13186357.587218337;35.3921554237042;401.2288368220211;1.0056687;11.400924241507605;1594027.288128215;18070945.581627022;0.035992865266148234;0.02438329806249133;0.03895907503984631
2017-02-17;18335;6012;9985264;1660.88888888889;1136612293.4674177;133277880902089.0;0.000786274421268219;0.010044052343056295;0.000477612754227;0.006101136414217434;38.84667405719458;496.23645006125594;9.27581213067872;31327.8125;12.8512510004325;400188.7636582738;31327.8125;400188.7636582738;59.55858374;85.34419588093472;0.012066303530949254;12.774232597896;192.52888757419205;24.726956507009834;88976952.99948;205455838.299002;86625493.50786653;49406;48111;1493940.0403657;19083937.562941592;55.6343473270428;710.6860931877783;1.0051277293475;12.839735405280022;2676624.084251355;34191818.62935719;0.03724713885632049;0.030074888389222704;0.04117144622076355
2017-02-28;23302;6107;11818726;1935.27525790077;1398191982.8994365;154531298158778.0;0.000845474914534581;0.01323451876041764;0.0004589;0.007183324489880235;50.96269142341913;797.7370873219787;10.9225706015662;31856.09375;13.0174526026904;498654.7360782212;31856.09375;498654.7360782212;19.20672655;87.34916294662087;0.013171790238927363;15.6533547393337;147.16135096300923;49.1506603166816;89322193.62448;205211869.533611;86970734.13286653;60277;59261;4650568.30029531;72796995.34402266;205.897201865642;3222.981940639095;1.01371799;15.868087303114333;12201674.079759786;190997132.784213;0.03781214362286987;0.03329961703733227;0.0396108806834798
2017-05-24;102757;5427;36173675;6665.50119771513;17632797416.27002;458978033229234.0;0.00145275413021193;0.27874671775732335;0.000465317999958;0.089282737184697;272.09067930992484;52207.30900894958;28.8382640670445;28640.625;11.3755336892008;5495410.4395515965;28640.625;5495410.4395515965;17.46544911;72.74564192323717;0.07945097091348623;191.874668920514;1404.4913330536976;282.9431795478161;91897474.09323;197420557.162689;89844802.88945654;187293;179778;5261672.54645795;1009581677.819777;93.2131270689554;17885.23789540162;1.00102992343091;192.07228513783335;16757669.558202662;3215372298.359512;0.07280590648436003;0.09428002655357419;0.07485679434603898
2017-06-16;129910;5336;42871543;8034.39711394303;32634561412.356655;737124773386925.0;0.00103832811113732;0.36614536387003926;0.000441;0.1555097119443516;257.5084865466795;90805.14867596386;45.5405216497313;28370.9375;11.1894231664416;10004436.09572835;28370.9375;10004436.09572835;18.61522069;60.06997376270727;0.14239846432514425;352.629732300117;1601.1530005641482;306.1054719950165;92546255.81198;196773747.207794;90508580.14758207;248003;230718;4971536.85962156;1753111711.928515;81.1780866005401;28625.80694658417;0.681493205;240.31476644349877;18729245.784303408;6604488927.102006;0.07532365763210144;0.08959201362517451;0.08437729730799348
2017-07-17;132893;4459;43761400;9814.17358152052;17665426045.009224;1204494095368090.0;0.00113295629069005;0.21437986856314217;0.000441;0.08344675148832376;281.5090484166212;53267.6090814882;62.1766153373736;23518.28125;9.1948611059585;4450168.187984704;23518.28125;4450168.187984704;17.35746825;20.076035379636302;0.08539861221164975;189.221658703682;1580.970786651776;-48.58627792136422;93358372.21823;181421871.314518;91397373.55204208;248473;210670;5378570.81751701;1017742091.5457876;110.643568162723;20936.159492644347;0.593263474999999;112.25829878781019;23309280.50484088;4410620720.31539;0.08136558261546419;0.08265110285110351;0.09164072494093206
2017-07-29;104002;4683;34899966;7452.48046124279;19291573994.52334;1332178338555250.0;0.00102717640019007;0.21159310800109352;0.00042856829904;0.08828288730916689;204.17493459523243;42058.9968567532;72.2180807613518;24492.5;9.54585433913393;5045330.282858735;24492.5;5045330.282858735;16.14520113;19.489034311511286;0.07611256431288731;205.994907945646;1499.5861380664132;-29.93353567088007;93650732.37448;183830858.387139;91693733.52029207;198773;187930;5800530.54953512;1194879756.5873945;119.848363367897;24688.152579406276;0.3;61.7984723836938;22523102.927728873;4639644514.247819;0.08513728149764006;0.0953327464254395;0.08536096544508956
